blink	time	pupil diam	eyeX	eyeY
1	4618	4.01	0.59012	0.31176
1	4634	4.01	0.58874	0.31163
1	4649	4.11	0.58736	0.31150
1	4665	4.11	0.58823	0.31289
1	4681	4.11	0.58788	0.31701
1	4696	4.1000000000000005	0.57915	0.34985
1	4712	4.1000000000000005	0.62937	0.35517
1	4727	4.1000000000000005	0.59372	0.39656
1	4743	4.1000000000000005	0.57590	0.41725
1	4759	4.1000000000000005	0.56975	0.43254
1	4774	4.1000000000000005	0.56597	0.44293
1	4790	4.13	0.56328	0.45034
1	4806	4.13	0.48986	0.44494
1	4821	4.13	0.49391	0.44904
1	4837	4.13	0.49715	0.45232
1	4852	4.13	0.50230	0.45665
1	4868	4.13	0.50704	0.46065
1	4884	4.0600000000000005	0.51105	0.46403
1	4899	4.0600000000000005	0.50039	0.47502
1	4931	4.0600000000000005	0.49500	0.46764
1	4946	4.13	0.49320	0.46518
1	4962	4.13	0.49980	0.46918
1	4978	4.13	0.49980	0.46918
1	4993	4.13	0.49980	0.46918
1	5009	4.13	0.49980	0.46918
1	5024	4.13	0.49960	0.46724
1	5040	4.13	0.49960	0.46724
1	5056	4.13	0.49960	0.46724
1	5071	4.13	0.91708	1.15464
1	5087	4	0.91708	1.15464
1	5103	4	0.85065	0.81117
1	5118	4	0.77810	0.46989
1	5134	4	0.73876	0.30036
1	5149	4	0.71967	0.24120
1	5165	4	0.66994	0.19320
1	5181	4.04	0.64942	0.25955
1	5196	4.04	0.61555	0.33818
1	5212	4.04	0.55901	0.42940
1	5228	4	0.52967	0.44812
1	5259	4	0.52967	0.44812
1	5274	4	0.50033	0.46684
1	5290	4	0.50033	0.46684
1	5306	4	0.50579	0.46930
1	5321	4	0.58622	0.41039
1	5337	4.01	0.62371	0.37970
1	5353	4.01	0.52846	0.39254
1	5368	4.01	0.38856	0.51781
0	5384	4.01	0.38856	0.51781
0	5399	4.01	0.38856	0.51781
0	5415	4.01	0.00000	0.00000
0	5431	4.01	0.00000	0.00000
0	5446	4.01	0.00000	0.00000
0	5462	4.01	0.00000	0.00000
0	5478	4.01	0.00000	0.00000
0	5493	4.01	0.00000	0.00000
0	5509	4.01	0.00000	0.00000
0	5540	4.01	0.00000	0.00000
1	5556	4.01	-0.45894	0.49130
1	5571	4.01	-0.95476	0.91767
1	5587	3.62	-0.97320	0.88521
1	5603	3.62	-0.97320	0.88521
1	5618	3.62	-0.78702	0.71546
1	5634	3.52	-0.68471	0.64681
1	5649	3.52	-0.85266	0.81493
1	5665	3.52	-0.83599	1.22161
1	5681	3.8	-0.78650	1.57856
1	5696	3.8	-0.66327	1.14738
1	5712	3.8	0.23306	1.07537
1	5728	3.7	1.04302	1.04048
1	5743	3.7	0.42456	0.99852
1	5759	3.7	1.01930	0.96864
1	5774	3.6	1.51829	0.97718
1	5790	3.6	0.66449	0.99214
1	5806	3.6	0.50903	0.50025
1	5821	3.67	0.53097	-0.00338
1	5837	3.67	0.52330	0.21745
1	5853	3.67	0.56975	-0.12035
1	5868	3.62	0.60907	-0.31674
1	5899	3.62	0.01762	0.06045
1	5915	3.62	-0.56100	0.64862
1	5931	3.68	-0.86356	1.14639
1	5946	3.68	-0.39401	0.59938
1	5962	3.68	-0.63580	0.77754
1	5978	3.4499999999999997	-0.96109	0.98032
1	5993	3.4499999999999997	-0.94092	0.97750
1	6009	3.4499999999999997	-0.93543	1.35971
1	6024	3.31	-0.77738	1.64193
1	6040	3.31	-0.34210	1.31068
1	6056	3.31	0.12496	0.69481
1	6071	3.33	0.29537	0.10345
1	6087	3.33	0.40498	-0.09962
1	6103	3.33	0.62566	-0.09683
1	6118	3.2	0.70633	0.30317
1	6134	3.2	0.13494	0.50700
1	6149	3.2	0.11624	0.38373
1	6165	3.5100000000000002	0.34289	-0.04145
1	6181	3.5100000000000002	-0.28202	0.46138
1	6212	3.5100000000000002	0.12356	0.56380
1	6228	3.7	0.72826	0.62739
1	6243	3.7	0.54409	0.33464
1	6259	3.7	0.39341	0.76124
1	6274	3.3899999999999997	0.03246	1.30241
1	6290	3.3899999999999997	-0.13242	1.50546
1	6306	3.3899999999999997	-0.44655	1.37878
1	6321	3.37	-0.49777	0.88000
1	6337	3.37	-0.13341	0.43553
1	6353	3.37	-0.34115	0.30821
1	6368	3.28	-0.70547	0.65251
1	6384	3.28	0.00719	0.79850
1	6399	3.28	-0.00207	1.18678
1	6415	3.2399999999999998	-0.18550	1.32990
1	6431	3.2399999999999998	-0.18550	1.32990
1	6446	3.2399999999999998	0.23161	1.04757
1	6462	3.0500000000000003	0.53188	0.83484
1	6478	3.0500000000000003	0.85399	0.79683
1	6493	3.0500000000000003	0.47102	0.80498
1	6524	3.17	-0.22315	0.93850
1	6540	3.17	0.43056	0.85912
1	6556	3.17	-0.00991	0.88463
1	6571	2.99	-0.43015	0.88308
1	6587	2.99	-0.29962	0.63707
1	6603	2.99	-0.43829	0.86636
1	6618	1.14	-0.40324	1.18893
1	6634	1.14	-0.40324	1.18893
1	6649	1.14	0.61644	1.12119
1	6665	0.9700000000000001	1.05194	0.92716
1	6681	0.9700000000000001	1.05762	0.92269
1	6696	0.9700000000000001	0.83117	0.94024
1	6712	0.79	0.40310	1.03159
1	6728	0.79	0.16784	0.96617
1	6743	0.79	-0.16382	0.97913
1	6759	0.79	-0.16382	0.97913
1	6774	0.79	-0.05192	0.93544
1	6790	0.79	0.08647	0.62748
1	6806	0.35	0.10570	0.51713
1	6821	0.35	0.11953	0.49966
1	6853	0.35	0.16822	0.54198
1	6868	0.2	0.20037	0.64820
1	6884	0.2	0.17388	0.63707
1	6899	0.2	0.26051	0.68501
1	6915	0.24000000000000002	0.34431	0.68542
1	6931	0.24000000000000002	0.40725	0.67802
1	6946	0.24000000000000002	0.46220	0.67950
1	6962	0.22	0.44378	0.68448
1	6978	0.22	0.46589	0.67422
1	6993	0.22	0.38515	0.59616
1	7009	0.24000000000000002	0.30256	0.52073
1	7024	0.24000000000000002	0.23637	0.53661
1	7040	0.24000000000000002	0.14382	0.54050
1	7056	0.24000000000000002	0.12566	0.57417
1	7071	0.24000000000000002	0.22505	0.61110
1	7087	0.24000000000000002	0.25514	0.58893
1	7103	0.25	0.24461	0.53146
1	7118	0.25	0.23897	0.51261
1	7134	0.25	0.28616	0.48137
1	7149	0.23	0.34143	0.48829
1	7181	0.23	0.27762	0.49547
1	7196	0.23	0.27762	0.49547
1	7212	0.23	0.27762	0.49547
1	7228	0.23	0.24367	0.50643
1	7243	0.23	0.23449	0.55648
1	7259	0.22	0.22836	0.58985
1	7274	0.22	0.25959	0.58100
1	7290	0.22	0.25147	0.60223
1	7306	0.24000000000000002	0.24515	0.61874
1	7321	0.24000000000000002	0.26239	0.62655
1	7337	0.24000000000000002	0.25759	0.63783
1	7353	0.25	0.25359	0.64724
1	7368	0.25	0.24807	0.65587
1	7384	0.25	0.22629	0.69224
1	7399	0.22	0.19983	0.72470
1	7415	0.22	0.26881	0.71961
1	7431	0.22	0.23466	0.67975
1	7446	0.23	0.21417	0.65584
1	7462	0.23	0.20190	0.63897
1	7493	0.23	0.19182	0.63034
1	7509	0.23	0.18426	0.62386
1	7524	0.23	0.18071	0.61182
1	7540	0.23	0.17630	0.62759
1	7556	0.23	0.17269	0.64050
1	7571	0.23	0.17478	0.64898
1	7587	0.23	0.17236	0.65315
1	7603	0.22	0.17029	0.65672
1	7618	0.22	0.14117	0.63612
1	7634	0.22	0.14731	0.66477
1	7650	0.22	0.14936	0.67431
1	7665	0.22	0.15505	0.68185
1	7681	0.22	0.16730	0.69672
1	7696	0.23	0.17546	0.70664
1	7712	0.23	0.16914	0.68436
1	7728	0.23	0.16311	0.67630
1	7744	0.22	0.15841	0.67004
1	7758	0.22	0.15744	0.67422
1	7776	0.22	0.18279	0.67153
1	7792	0.23	0.20392	0.66929
1	7808	0.23	0.20243	0.67494
1	7823	0.23	0.19739	0.67666
1	7854	0.22	0.19302	0.67814
1	7870	0.22	0.20769	0.67639
1	7886	0.22	0.20435	0.67723
1	7901	0.22	0.20138	0.67798
1	7917	0.22	0.19547	0.67875
1	7933	0.22	0.19199	0.67349
1	7948	0.24000000000000002	0.18885	0.66873
1	7964	0.24000000000000002	0.23780	0.66351
1	7979	0.24000000000000002	0.34391	0.61861
1	7995	0.22	0.37928	0.60364
1	8011	0.22	0.44306	0.62286
1	8026	0.22	0.28589	0.60521
1	8042	0.22	0.23351	0.59932
1	8058	0.22	0.16930	0.54045
1	8073	0.22	0.18018	0.64632
1	8089	0.23	0.18381	0.68162
1	8104	0.23	0.18815	0.66412
1	8120	0.23	0.18205	0.58547
1	8136	0.24000000000000002	0.18001	0.55925
1	8167	0.24000000000000002	0.15979	0.52947
1	8183	0.24000000000000002	0.33026	0.58477
1	8198	0.24000000000000002	0.38709	0.60320
